               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.045856,            0.059856,            0.011963,             0.79467,             0.84516,             0.82068,             0.38848,            0.043021,            0.056537,            0.014984,            0.007591,            0.007591,            0.007591
                  75,            0.045582,            0.064272,            0.012199,             0.84754,             0.82698,             0.83333,             0.40648,            0.042345,            0.056482,            0.015449,            0.007558,            0.007558,            0.007558
                  76,            0.043718,            0.059287,            0.011704,             0.77184,             0.83904,             0.80369,             0.37615,            0.044412,            0.056937,            0.014432,            0.007525,            0.007525,            0.007525
                  77,            0.044541,            0.063193,            0.011291,              0.8112,              0.8332,             0.83569,             0.40844,            0.042279,            0.056818,            0.014768,            0.007492,            0.007492,            0.007492
                  78,            0.043295,            0.063192,             0.01154,             0.75941,             0.78485,             0.80943,              0.4009,            0.041843,            0.057796,            0.016562,            0.007459,            0.007459,            0.007459
                  79,            0.044467,            0.062651,             0.01159,             0.80464,             0.82851,             0.83608,             0.40804,             0.04236,            0.057213,            0.015062,            0.007426,            0.007426,            0.007426
                  80,            0.043986,            0.064716,            0.011987,             0.84696,             0.84594,             0.84979,              0.4041,            0.040952,              0.0556,            0.014172,            0.007393,            0.007393,            0.007393
                  81,            0.044955,            0.059285,             0.01107,             0.86328,             0.85912,             0.84818,               0.419,            0.040479,            0.053781,            0.014211,             0.00736,             0.00736,             0.00736
                  82,            0.043513,            0.059876,            0.012361,             0.80216,             0.79186,             0.80319,             0.40123,             0.04172,             0.05549,            0.018487,            0.007327,            0.007327,            0.007327
                  83,             0.04391,            0.061805,            0.010444,             0.85848,              0.8302,             0.84487,             0.43418,            0.040927,            0.056978,            0.015954,            0.007294,            0.007294,            0.007294
                  84,            0.043155,            0.059618,            0.010718,             0.85784,             0.82413,             0.85412,              0.4101,            0.041928,              0.0571,            0.015719,            0.007261,            0.007261,            0.007261
                  85,            0.043386,            0.060176,           0.0099701,              0.8323,             0.83848,             0.84807,               0.434,            0.041287,            0.056656,            0.015185,            0.007228,            0.007228,            0.007228
                  86,            0.044139,             0.06201,           0.0094969,             0.81586,             0.79728,             0.83188,             0.42819,            0.040349,            0.057591,            0.017762,            0.007195,            0.007195,            0.007195
                  87,            0.042817,            0.060783,            0.010279,             0.79044,             0.83505,             0.84026,             0.43563,            0.040649,            0.057715,            0.015244,            0.007162,            0.007162,            0.007162
                  88,            0.044207,             0.05769,            0.011368,             0.81415,             0.80967,             0.80729,             0.39106,            0.042354,              0.0578,            0.016168,            0.007129,            0.007129,            0.007129
                  89,            0.042806,            0.062032,            0.010704,             0.83885,              0.7094,             0.78002,             0.38824,            0.043117,             0.05793,             0.02273,            0.007096,            0.007096,            0.007096
                  90,            0.043055,            0.061233,           0.0097651,             0.85333,             0.81647,             0.84482,             0.41889,            0.041236,            0.057375,            0.015211,            0.007063,            0.007063,            0.007063
                  91,            0.043372,            0.061342,           0.0096053,             0.87595,             0.85527,             0.85548,             0.41943,            0.041543,            0.056931,            0.013493,             0.00703,             0.00703,             0.00703
                  92,            0.043768,             0.06067,           0.0092431,             0.86887,             0.83483,             0.84558,              0.4263,            0.041338,            0.057513,            0.013608,            0.006997,            0.006997,            0.006997
